Date,Region_Name,Area_Code,Detached_Average_Price,Detached_Index,Detached_Monthly_Change,Detached_Annual_Change,Semi_Detached_Average_Price,Semi_Detached_Index,Semi_Detached_Monthly_Change,Semi_Detached_Annual_Change,Terraced_Average_Price,Terraced_Index,Terraced_Monthly_Change,Terraced_Annual_Change,Flat_Average_Price,Flat_Index,Flat_Monthly_Change,Flat_Annual_Change
01/09/2022,Hartlepool,E06000001,237944.404,141.894913,1.13108427,7.77187793,140000.507,138.040564,1.20107441,6.94283187,99258.9335,136.842645,1.30135315,6.66581323,70044.0438,119.038127,0.36627109,2.88221623
01/09/2022,Middlesbrough,E06000002,261212.784,142.955772,2.20395926,16.6050575,148979.188,136.959915,2.2865144,14.7902189,105465.551,134.542158,2.40349203,13.4400729,78498.5362,117.771033,1.50136399,8.16606663
01/09/2022,Redcar and Cleveland,E06000003,252995.811,138.555311,1.55576994,14.7410189,155615.038,135.087776,1.67272814,13.6720993,117567.136,133.393437,1.67673344,13.4927195,73779.0299,116.621038,1.03223929,7.87762581
01/09/2022,Stockton-on-Tees,E06000004,267113.043,136.199616,0.0064646,11.7696252,153231.05,134.448421,0.19303761,11.3397661,118731.418,133.033682,0.19569496,11.2295541,88462.0929,114.736682,-0.6900743,6.69309844
01/09/2022,Darlington,E06000005,274052.004,132.680932,0.15075821,8.91508949,160353.144,129.921273,0.27943156,7.31342079,119830.2,127.107376,0.45780054,6.53216962,87091.7097,110.234331,-0.4627954,2.23915705
01/09/2022,Halton,E06000006,328624.172,165.461369,1.61086134,15.062984,195498.316,165.433558,1.82235492,15.658305,142347.173,160.65695,1.82464394,14.5260349,96178.2368,140.103652,1.2577308,9.53838072
01/09/2022,Warrington,E06000007,452727.428,173.185948,1.17615796,20.990997,261778.387,171.7239,1.41699291,20.9103491,208182.517,168.929598,1.4226206,20.3495076,145991.238,149.015382,0.62724417,15.3945924
01/09/2022,Blackburn with Darwen,E06000008,270492.435,154.039698,2.89964742,12.5939044,155481.99,149.235429,2.93351677,10.1240669,121531.59,147.115914,3.0872319,9.57998705,90297.9866,130.484746,2.07247021,4.53529334
01/09/2022,Blackpool,E06000009,237605.4,147.825109,0.44911215,13.4833459,160342.157,145.80773,0.46289659,12.4364236,119919.016,143.964112,0.52347415,12.1609644,82901.7435,127.859464,-0.3211622,7.38929377
01/09/2022,City of Kingston upon Hull,E06000010,259219.58,152.823864,-1.503063,10.5331809,157754.402,150.714322,-1.3772331,10.2723095,120185.904,147.151554,-1.382466,9.49809392,89858.4242,129.765275,-2.0502547,5.51893352
01/09/2022,East Riding of Yorkshire,E06000011,335310.081,152.751276,0.85901293,12.0760967,208768.508,149.176929,0.76359231,11.0046513,167213.346,145.96956,0.63763568,10.3797433,108277.577,127.53545,-0.0486983,4.84632146
01/09/2022,North East Lincolnshire,E06000012,258464.195,153.20344,2.58439987,13.2999024,166047.683,152.17342,2.61230114,13.4873136,121609.95,149.431565,2.7427131,12.2524625,80667.8085,130.722308,1.96914996,7.21489401
01/09/2022,North Lincolnshire,E06000013,252516.105,155.394949,0.09738864,9.22540555,161332.57,154.539151,0.06569223,9.29486257,133208.233,151.738453,-0.1330502,8.86252078,79801.377,132.454258,-0.77405,3.44058599
01/09/2022,York,E06000014,540629.138,161.004443,1.74628162,17.7359421,345460.686,159.42623,1.79374932,17.4318429,290060.524,157.209558,1.76222298,18.2755635,198805.074,137.104854,1.08158385,12.7078216
01/09/2022,City of Derby,E06000015,314686.489,153.617948,1.74393599,12.5951366,202161.732,153.868142,1.96636167,12.9691966,163587.325,150.951739,1.8939291,12.506682,112577.065,133.404714,1.05658161,7.17152281
01/09/2022,Leicester,E06000016,403291.308,178.494452,-1.4167738,10.6815072,259490.153,177.058714,-1.2550563,11.6232274,203029.37,173.601329,-1.4483988,11.2436427,148667.006,150.994342,-1.853463,5.39523445
01/09/2022,Rutland,E06000017,533937.687,159.495399,1.88337332,13.6095312,326770.363,157.064977,1.85177621,13.6254521,282085.688,154.173616,1.50995586,13.4431569,168644.281,138.130073,0.89112835,11.8610769
01/09/2022,City of Nottingham,E06000018,327261.048,174.586864,0.09513044,13.7616953,213348.295,174.814203,0.36234691,14.1259874,165005.665,170.769859,0.22423496,13.5756535,133471.813,147.363667,-0.3303624,8.36838964
